match_start,group_name,home_team_name,home_team_short_code,away_team_name,away_team_short_code,stats_home_score,stats_away_score,stats_halftime_score,stats_fulltime_score,venue_name,venue_capacity,venue_city,latitude,longitude
6/27/2018 14:00,F,Mexico,MEX,Sweden,SWE,0,3,0-0,0-3,Central Stadium,35061,Ekaterinburg,46.38022,48.05684
6/27/2018 18:00,E,Switzerland,SUI,Costa Rica,CRC,2,2,Jan-00,2-Feb,Nizhny Novgorod Stadium,43319,Nizhny Novgorod,56.30565044,43.9240063
6/27/2018 18:00,E,Serbia,SRB,Brazil,BRA,0,2,0-1,0-2,Otkritie Arena,45360,Moscow,55.715786,37.553703
6/28/2018 14:00,H,Senegal,SEN,Colombia,COL,0,1,0-0,0-1,Samara Arena,44918,Samara,53.20007,50.15
6/28/2018 14:00,H,Japan,JPN,Poland,POL,0,1,0-0,0-1,Volgograd Arena,43713,Volgograd,43.402245,39.956
6/28/2018 18:00,G,England,ENG,Belgium,BEL,0,1,0-0,0-1,Kaliningrad Stadium,33973,Kaliningrad,54.70649,20.51095
6/28/2018 18:00,G,Panama,PAN,Tunisia,TUN,1,2,Jan-00,2-Jan,Mordovia Arena,41685,Saransk,54.1838,45.1749
6/30/2018 14:00,Knockout stage,France,FRA,Argentina,ARG,4,3,1-Jan,3-Apr,Kazan Arena,45093,Kazan,55.818837,49.158497
6/30/2018 18:00,Knockout stage,Uruguay,URU,Portugal,POR,2,1,Jan-00,1-Feb,Fisht Olympic Stadium,47659,Sochi,43.402245,39.956
7/1/2018 14:00,Knockout stage,Spain,ESP,Russia,RUS,4,5,1-Jan,1-Jan,Luzhniki Stadium,78011,Moscow,55.715786,37.553703
7/1/2018 18:00,Knockout stage,Croatia,CRO,Denmark,DEN,4,3,1-Jan,1-Jan,Nizhny Novgorod Stadium,43319,Nizhny Novgorod,56.30565044,43.9240063
7/2/2018 14:00,Knockout stage,Brazil,BRA,Mexico,MEX,2,0,0-0,Feb-00,Samara Arena,44918,Samara,53.20007,50.15
7/2/2018 18:00,Knockout stage,Belgium,BEL,Japan,JPN,3,2,0-0,2-Mar,Rostov Arena,45000,Rostov-on-Don,47.23135,39.72328
7/3/2018 14:00,Knockout stage,Sweden,SWE,Switzerland,SUI,1,0,0-0,Jan-00,Gazprom Arena,70000,Saint Petersburg,59.972733,30.21921
7/3/2018 18:00,Knockout stage,Colombia,COL,England,ENG,4,5,0-0,1-Jan,Otkritie Arena,45360,Moscow,55.715786,37.553703
7/6/2018 14:00,Knockout stage,Uruguay,URU,France,FRA,0,2,0-1,0-2,Nizhny Novgorod Stadium,43319,Nizhny Novgorod,56.30565044,43.9240063
7/6/2018 18:00,Knockout stage,Brazil,BRA,Belgium,BEL,1,2,0-2,2-Jan,Kazan Arena,45093,Kazan,55.818837,49.158497
7/7/2018 14:00,Knockout stage,Sweden,SWE,England,ENG,0,2,0-1,0-2,Samara Arena,44918,Samara,53.20007,50.15
7/7/2018 18:00,Knockout stage,Russia,RUS,Croatia,CRO,5,6,1-Jan,1-Jan,Fisht Olympic Stadium,47659,Sochi,43.402245,39.956
7/10/2018 18:00,Knockout stage,France,FRA,Belgium,BEL,1,0,0-0,Jan-00,Gazprom Arena,70000,Saint Petersburg,59.972733,30.21921
7/11/2018 18:00,Knockout stage,Croatia,CRO,England,ENG,2,1,0-1,1-Jan,Luzhniki Stadium,78011,Moscow,55.715786,37.553703
7/14/2018 14:00,Knockout stage,Belgium,BEL,England,ENG,2,0,Jan-00,Feb-00,Gazprom Arena,70000,Saint Petersburg,59.972733,30.21921
7/15/2018 15:00,Knockout stage,France,FRA,Croatia,CRO,4,2,1-Feb,2-Apr,Luzhniki Stadium,78011,Moscow,55.715786,37.553703
