match_start,group_name,home_team_name,home_team_short_code,away_team_name,away_team_short_code,stats_home_score,stats_away_score,stats_halftime_score,stats_fulltime_score,venue_name,venue_capacity,venue_city
2018-06-30 14:00:00,Knockout stage,France,FRA,Argentina,ARG,4,3,1-1,4-3,Kazan Arena,45093,Kazan
2018-06-30 18:00:00,Knockout stage,Uruguay,URU,Portugal,POR,2,1,1-0,2-1,Fisht Olympic Stadium,47659,Sochi
2018-07-01 14:00:00,Knockout stage,Spain,ESP,Russia,RUS,4,5,1-1,1-1,Luzhniki Stadium,78011,Moscow
2018-07-01 18:00:00,Knockout stage,Croatia,CRO,Denmark,DEN,4,3,1-1,1-1,Nizhny Novgorod Stadium,43319,Nizhny Novgorod
2018-07-02 14:00:00,Knockout stage,Brazil,BRA,Mexico,MEX,2,0,0-0,2-0,Samara Arena,44918,Samara
2018-07-02 18:00:00,Knockout stage,Belgium,BEL,Japan,JPN,3,2,0-0,3-2,Rostov Arena,45000,Rostov-on-Don
2018-07-03 14:00:00,Knockout stage,Sweden,SWE,Switzerland,SUI,1,0,0-0,1-0,Gazprom Arena,70000,Saint Petersburg
2018-07-03 18:00:00,Knockout stage,Colombia,COL,England,ENG,4,5,0-0,1-1,Otkritie Arena,45360,Moscow
2018-07-06 14:00:00,Knockout stage,Uruguay,URU,France,FRA,0,2,0-1,0-2,Nizhny Novgorod Stadium,43319,Nizhny Novgorod
2018-07-06 18:00:00,Knockout stage,Brazil,BRA,Belgium,BEL,1,2,0-2,1-2,Kazan Arena,45093,Kazan
2018-07-07 14:00:00,Knockout stage,Sweden,SWE,England,ENG,0,2,0-1,0-2,Samara Arena,44918,Samara
2018-07-07 18:00:00,Knockout stage,Russia,RUS,Croatia,CRO,5,6,1-1,1-1,Fisht Olympic Stadium,47659,Sochi
2018-07-10 18:00:00,Knockout stage,France,FRA,Belgium,BEL,1,0,0-0,1-0,Gazprom Arena,70000,Saint Petersburg
2018-07-11 18:00:00,Knockout stage,Croatia,CRO,England,ENG,2,1,0-1,1-1,Luzhniki Stadium,78011,Moscow
2018-07-14 14:00:00,Knockout stage,Belgium,BEL,England,ENG,2,0,1-0,2-0,Gazprom Arena,70000,Saint Petersburg
2018-07-15 15:00:00,Knockout stage,France,FRA,Croatia,CRO,4,2,2-1,4-2,Luzhniki Stadium,78011,Moscow
